provincia,canton,25/5/2020
ALAJUELA,ALAJUELA,86
ALAJUELA,ATENAS,5
ALAJUELA,GRECIA,16
ALAJUELA,GUATUSO,0
ALAJUELA,LOS CHILES,1
ALAJUELA,NARANJO,11
ALAJUELA,OROTINA,8
ALAJUELA,PALMARES,12
ALAJUELA,POAS,6
ALAJUELA,RIO CUARTO,0
ALAJUELA,SAN CARLOS,33
ALAJUELA,SAN MATEO,0
ALAJUELA,SAN RAMON,19
ALAJUELA,SARCHI,8
ALAJUELA,UPALA,4
ALAJUELA,ZARCERO,0
CARTAGO,ALVARADO,1
CARTAGO,CARTAGO,17
CARTAGO,EL GUARCO,6
CARTAGO,JIMENEZ,2
CARTAGO,LA UNION,26
CARTAGO,OREAMUNO,8
CARTAGO,PARAISO,2
CARTAGO,TURRIALBA,2
GUANACASTE,ABANGARES,10
GUANACASTE,BAGACES,6
GUANACASTE,CAÑAS,20
GUANACASTE,CARRILLO,2
GUANACASTE,HOJANCHA,1
GUANACASTE,LA CRUZ,6
GUANACASTE,LIBERIA,7
GUANACASTE,NANDAYURE,0
GUANACASTE,NICOYA,4
GUANACASTE,SANTA CRUZ,4
GUANACASTE,TILARAN,2
HEREDIA,BARVA,8
HEREDIA,BELEN,4
HEREDIA,FLORES,1
HEREDIA,HEREDIA,44
HEREDIA,SAN ISIDRO,1
HEREDIA,SAN PABLO,13
HEREDIA,SAN RAFAEL,10
HEREDIA,SANTA BARBARA,3
HEREDIA,SANTO DOMINGO,9
HEREDIA,SARAPIQUI,1
LIMON,GUACIMO,1
LIMON,LIMON,3
LIMON,MATINA,0
LIMON,POCOCI,9
LIMON,SIQUIRRES,2
LIMON,TALAMANCA,1
PUNTARENAS,BUENOS AIRES,0
PUNTARENAS,CORREDORES,0
PUNTARENAS,COTO BRUS,2
PUNTARENAS,ESPARZA,2
PUNTARENAS,GARABITO,22
PUNTARENAS,GOLFITO,2
PUNTARENAS,MONTES DE ORO,2
PUNTARENAS,OSA,6
PUNTARENAS,PARRITA,0
PUNTARENAS,PUNTARENAS,7
PUNTARENAS,QUEPOS,3
SAN JOSE,ACOSTA,0
SAN JOSE,ALAJUELITA,15
SAN JOSE,ASERRI,21
SAN JOSE,CURRIDABAT,25
SAN JOSE,DESAMPARADOS,46
SAN JOSE,DOTA,0
SAN JOSE,ESCAZU,30
SAN JOSE,GOICOECHEA,36
SAN JOSE,LEON CORTES,0
SAN JOSE,MONTES DE OCA,18
SAN JOSE,MORA,8
SAN JOSE,MORAVIA,16
SAN JOSE,PEREZ ZELEDON,5
SAN JOSE,PURISCAL,2
SAN JOSE,SAN JOSE,140
SAN JOSE,SANTA ANA,44
SAN JOSE,TARRAZU,4
SAN JOSE,TIBAS,25
SAN JOSE,TURRUBARES,2
SAN JOSE,VAZQUEZ DE CORONADO,11
,DESCONOCIDO,12
